# Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
# High resolution irradiance spectrum from 300 to 1000 nm.
# Thuillier et al (2004) calibration
# Kurucz.harvard.edu/sun/irradiance2005/irradthu.dat
#  
#  (tails left on to allow broadening)
#  
#      nm    W/m**2/nm
#     927476   2.45147  max   revised 02jan2010
  299.21565  0.78237
  299.21598  0.79190
  299.21631  0.79879
  299.21663  0.80363
  299.21696  0.80736
  299.21729  0.81026
  299.21761  0.81247
  299.21794  0.81412
  299.21827  0.81537
  299.21859  0.81703
  299.21892  0.81910
  299.21924  0.82117
  299.21957  0.82255
  299.21990  0.82269
  299.22022  0.82130
  299.22055  0.81938
  299.22088  0.81730
  299.22120  0.81551
  299.22153  0.81302
  299.22186  0.80874
  299.22218  0.80142
  299.22251  0.79093
  299.22283  0.77768
  299.22316  0.76276
  299.22349  0.74688
  299.22381  0.73045
  299.22414  0.71360
  299.22447  0.69620
  299.22479  0.67839
  299.22512  0.66030
  299.22545  0.64207
  299.22577  0.62344
  299.22610  0.60425
  299.22642  0.58477
  299.22675  0.56627
  299.22708  0.55025
  299.22740  0.53866
  299.22773  0.53299
  299.22806  0.53368
  299.22838  0.54086
  299.22871  0.55426
  299.22904  0.57345
  299.22936  0.59789
  299.22969  0.62620
  299.23001  0.65630
  299.23034  0.68558
  299.23067  0.71208
  299.23099  0.73486
  299.23132  0.75433
  299.23165  0.77146
  299.23197  0.78664
  299.23230  0.80004
  299.23263  0.81053
  299.23295  0.81785
  299.23328  0.82227
  299.23360  0.82462
  299.23393  0.82627
  299.23426  0.82739
  299.23458  0.82724
  299.23491  0.82476
  299.23524  0.81951
  299.23556  0.81247
  299.23589  0.80570
  299.23622  0.80101
  299.23654  0.79879
  299.23687  0.79838
  299.23719  0.79769
  299.23752  0.79534
  299.23785  0.79106
  299.23817  0.78554
  299.23850  0.77960
  299.23883  0.77339
  299.23915  0.76635
  299.23948  0.75793
  299.23981  0.74813
  299.24013  0.73818
  299.24046  0.72948
  299.24078  0.72286
  299.24111  0.71720
  299.24144  0.71072
  299.24176  0.70152
  299.24209  0.68843
  299.24242  0.67214
  299.24274  0.65419
  299.24307  0.63623
  299.24340  0.61856
  299.24372  0.60060
  299.24405  0.58113
  299.24438  0.55904
  299.24470  0.53390
  299.24503  0.50614
  299.24535  0.47645
  299.24568  0.44551
  299.24601  0.41361
  299.24633  0.38088
  299.24666  0.34746
  299.24699  0.31349
  299.24731  0.27938
  299.24764  0.24610
